#RPLIDAR SCAN DATA
#COUNT=624
#Angule	Distance	Quality
264.6387 3660.0 188
265.0616 3660.0 188
265.4681 3656.0 188
265.8746 3656.0 188
266.2921 3656.0 188
266.6986 3656.0 188
267.1051 3656.0 188
267.5281 3656.0 188
267.9346 3656.0 188
268.3411 3652.0 188
268.7476 3648.0 188
269.1705 3648.0 188
269.5770 3648.0 188
269.9835 3644.0 188
270.4010 3640.0 188
270.8075 3640.0 188
271.2140 3640.0 188
271.6205 3636.0 188
272.0435 3640.0 188
272.4500 3640.0 188
272.8564 3632.0 188
273.2794 3628.0 188
273.6859 3624.0 188
274.0924 3628.0 188
274.4989 3628.0 188
274.9219 3608.0 188
275.3229 3600.0 188
275.7294 3604.0 188
276.1523 3592.0 188
276.5588 3592.0 188
276.9653 3604.0 188
277.3883 3612.0 188
277.7948 3620.0 188
278.2013 3628.0 188
278.6078 3624.0 188
279.0308 3628.0 188
279.4373 3628.0 188
279.8438 3632.0 188
280.2612 3628.0 188
280.6677 3632.0 188
281.0742 3640.0 188
281.4807 3636.0 188
281.9037 3640.0 188
282.3102 3644.0 188
282.7167 3644.0 188
283.1396 3644.0 188
283.5461 3652.0 188
283.9526 3648.0 188
284.3591 3648.0 188
284.7766 3652.0 188
285.1831 3652.0 188
285.5896 3652.0 188
286.0126 3656.0 188
286.4191 3656.0 188
286.8256 3660.0 188
287.2321 3660.0 188
287.6550 3660.0 188
288.0615 3660.0 188
288.4680 3660.0 188
288.8855 3664.0 188
289.2920 3664.0 188
289.6985 3676.0 188
290.1215 3680.0 188
290.5280 3680.0 188
290.9344 3692.0 188
291.3409 3704.0 188
291.7639 3712.0 188
292.1704 3712.0 188
292.5769 3716.0 188
292.9999 3724.0 188
293.4009 3728.0 188
293.8074 3744.0 188
294.2139 3760.0 188
294.6368 3764.0 188
295.0433 3776.0 188
295.4498 3784.0 188
295.8728 3796.0 188
296.2793 3816.0 188
296.6858 3828.0 188
297.1088 3832.0 188
297.4988 3840.0 188
297.8888 3844.0 188
298.2788 3844.0 188
298.6688 3856.0 188
299.0588 3864.0 188
299.4489 3864.0 188
299.8389 3884.0 188
300.2344 3900.0 188
300.6244 3916.0 188
301.0144 3928.0 188
301.4044 3940.0 188
301.7944 3952.0 188
302.1844 3968.0 188
302.5745 3980.0 188
302.9645 3984.0 188
303.3545 3984.0 188
303.7500 4000.0 188
304.1400 4020.0 188
304.5300 4020.0 188
304.9200 4032.0 188
305.3101 4048.0 188
305.7001 4064.0 188
306.0901 4088.0 188
306.4966 4096.0 188
306.8866 4080.0 188
307.2766 4104.0 188
307.6666 4144.0 188
308.0621 4152.0 188
308.4521 4168.0 188
308.8422 4184.0 188
309.2322 4208.0 188
309.6222 4248.0 188
310.0122 4280.0 188
310.4022 4296.0 188
310.7922 4320.0 188
311.1823 4328.0 188
311.5778 4344.0 188
311.9678 4344.0 188
312.3578 4352.0 188
312.7478 4352.0 188
313.1378 4344.0 188
313.5278 4368.0 188
313.9178 4392.0 188
314.3079 4408.0 188
314.6979 4448.0 188
315.0934 4512.0 188
315.4834 4552.0 188
315.8899 4584.0 188
316.2799 4576.0 188
316.6699 4568.0 188
317.0599 4592.0 188
317.4500 4656.0 188
317.8400 4696.0 188
318.2300 4720.0 188
318.6200 4752.0 188
319.0155 4776.0 188
319.4055 4784.0 188
319.7955 4824.0 188
320.1855 4856.0 188
320.5756 4840.0 188
320.9656 4856.0 188
321.3556 4888.0 188
321.7456 4928.0 188
322.1356 5000.0 188
322.5311 5080.0 188
322.9211 5136.0 188
323.3112 5160.0 188
323.7012 5216.0 188
324.0912 5304.0 188
324.8712 5200.0 188
325.2612 5248.0 188
326.4478 5368.0 188
326.8433 5504.0 188
327.2333 5608.0 188
327.6233 5712.0 188
328.7933 6048.0 188
329.9634 6016.0 188
332.3090 6232.0 188
333.4790 6392.0 188
333.8745 6616.0 188
334.6710 6704.0 188
335.0610 6720.0 188
335.8575 6888.0 188
336.2640 6800.0 188
336.6541 6768.0 188
337.0605 6728.0 188
337.4506 6640.0 188
337.8571 6600.0 188
338.2471 6568.0 188
339.0436 6520.0 188
339.4501 6464.0 188
339.8401 6440.0 188
340.2466 6400.0 188
340.6366 6448.0 188
341.8396 6536.0 188
342.2296 6256.0 188
342.6361 6184.0 188
343.0261 6176.0 188
343.4326 6136.0 188
343.8281 6144.0 188
344.2291 6128.0 188
345.8276 6448.0 188
346.6241 6232.0 188
347.0142 6304.0 188
347.4207 6336.0 188
347.8107 6304.0 188
348.2172 6240.0 188
348.6072 6216.0 188
349.0137 6184.0 188
349.4037 6168.0 188
349.8102 6136.0 188
350.2002 6104.0 188
350.6067 6128.0 188
350.9967 6128.0 188
351.4032 6088.0 188
