PLIDAR SCAN DATA
#COUNT=1054
#Angule	Distance	Quality
246.5277 12664.0 188
249.1040 11288.0 188
249.3402 11304.0 188
250.5103 11312.0 188
250.7465 11312.0 188
251.4496 12296.0 188
252.1527 12168.0 188
252.3889 12152.0 188
252.8558 12112.0 188
254.7620 12072.0 188
254.9982 12056.0 188
255.2344 12040.0 188
255.4816 12056.0 188
255.7178 12064.0 188
256.4374 12056.0 188
256.6846 11984.0 188
256.9208 11920.0 188
257.1680 11928.0 188
257.4042 11920.0 188
257.6404 11888.0 188
257.8876 11896.0 188
258.1238 11904.0 188
258.3710 11896.0 188
258.6072 11888.0 188
260.7770 10856.0 188
261.0132 10872.0 188
261.2604 10888.0 188
261.4966 10904.0 188
262.2162 11752.0 188
262.6996 11808.0 188
262.9358 11752.0 188
263.1830 11784.0 188
263.6719 11824.0 188
264.6222 5192.0 188
264.8749 5240.0 188
265.1056 5256.0 188
265.3418 5248.0 188
265.5890 5248.0 188
265.8252 5232.0 188
266.0779 5240.0 188
266.3086 5256.0 188
266.5448 5240.0 188
266.7920 5248.0 188
267.0282 5280.0 188
267.2809 5288.0 188
267.5116 5272.0 188
267.7643 5264.0 188
267.9950 5280.0 188
268.2312 5272.0 188
268.4839 5256.0 188
268.7146 5256.0 188
268.9673 5264.0 188
269.1980 5288.0 188
269.4342 5320.0 188
269.6869 5344.0 188
269.9176 5344.0 188
270.1703 5384.0 188
271.6040 9888.0 188
273.0432 7504.0 188
273.2959 7384.0 188
273.5266 7344.0 188
273.7793 7336.0 188
274.0155 7272.0 188
274.2462 7288.0 188
274.4989 7296.0 188
275.9326 11600.0 188
276.1853 11576.0 188
276.6687 11528.0 188
277.3553 9840.0 188
279.4208 7640.0 188
279.8712 6704.0 188
280.1074 6592.0 188
280.5579 6096.0 188
280.7941 6016.0 188
281.0138 5888.0 188
281.2500 5728.0 188
281.4807 5640.0 188
282.1674 5280.0 188
282.8540 4832.0 188
283.0737 4760.0 188
283.3099 4736.0 188
283.5461 4656.0 188
283.7769 4592.0 188
283.9966 4512.0 188
284.2328 4416.0 188
284.4635 4352.0 188
284.6832 4288.0 188
284.9194 4208.0 188
285.1556 4128.0 188
285.3699 4068.0 188
285.6061 4016.0 188
285.8423 3952.0 188
286.0620 3868.0 188
286.2927 3804.0 188
286.5289 3768.0 188
286.7487 3708.0 188
286.9794 3660.0 188
287.2156 3608.0 188
287.4353 3552.0 188
287.6715 3528.0 188
287.9022 3488.0 188
288.3582 3348.0 188
288.5889 3304.0 188
288.8086 3248.0 188
289.0448 3220.0 188
289.2810 3172.0 188
289.4952 3132.0 188
289.7314 3096.0 188
289.9677 3052.0 188
290.1874 3008.0 188
290.4181 2960.0 188
290.6543 2920.0 188
290.8740 2896.0 188
291.1047 2872.0 188
291.3409 2852.0 188
291.5771 2812.0 188
291.7969 2764.0 188
292.0276 2728.0 188
292.2638 2700.0 188
292.4835 2688.0 188
292.7142 2652.0 188
292.9504 2620.0 188
293.1702 2596.0 188
293.4009 2560.0 188
293.6371 2536.0 188
293.8568 2516.0 188
294.0930 2496.0 188
294.3237 2472.0 188
294.5435 2448.0 188
294.7797 2432.0 188
295.0104 2408.0 188
295.2301 2380.0 188
295.4663 2360.0 188
295.7025 2340.0 188
295.9167 2328.0 188
296.1530 2312.0 188
296.3892 2288.0 188
296.6089 2260.0 188
296.8396 2236.0 188
297.0758 2220.0 188
297.2955 2208.0 188
297.5262 2192.0 188
297.7625 2172.0 188
297.9822 2152.0 188
298.2184 2128.0 188
298.4491 2112.0 188
298.6853 2100.0 188
298.9050 2084.0 188
299.1357 2072.0 188
299.3719 2052.0 188
299.6082 2032.0 188
299.8279 2022.0 188
300.0586 2006.0 188
300.2948 1996.0 188
300.5310 1980.0 188
300.7452 1966.0 188
300.9814 1958.0 188
301.2177 1944.0 188
301.4484 1930.0 188
301.6681 1914.0 188
301.9043 1896.0 188
302.1405 1884.0 188
302.3712 1874.0 188
302.5909 1868.0 188
302.8271 1858.0 188
303.0579 1842.0 188
303.2941 1826.0 188
303.5138 1816.0 188
303.7500 1804.0 188
303.9807 1794.0 188
304.2169 1780.0 188
304.4531 1766.0 188
304.6674 1758.0 188
304.9036 1748.0 188
305.1398 1736.0 188
305.3705 1726.0 188
305.5902 1714.0 188
305.8264 1700.0 188
306.0571 1690.0 188
306.2933 1686.0 188
306.5131 1680.0 188
306.7493 1670.0 188
306.9800 1660.0 188
307.2162 1650.0 188
307.4359 1642.0 188
307.6666 1632.0 188
307.9028 1626.0 188
308.1390 1620.0 188
308.3588 1608.0 188
308.5895 1598.0 188
308.8257 1588.0 188
309.0619 1578.0 188
309.2761 1572.0 188
309.5123 1566.0 188
309.7485 1554.0 188
309.9792 1544.0 188
310.2155 1538.0 188
310.4352 1530.0 188
310.6714 1524.0 188
310.9021 1518.0 188
311.1383 1512.0 188
311.3580 1504.0 188
311.5887 1496.0 188
311.8250 1490.0 188
312.0612 1482.0 188
312.2809 1476.0 188
312.5116 1470.0 188
312.7478 1464.0 188
312.9840 1456.0 188
313.1982 1450.0 188
313.4344 1444.0 188
313.6707 1438.0 188
313.9014 1432.0 188
314.1211 1424.0 188
314.3573 1422.0 188
314.5935 1416.0 188
314.8242 1408.0 188
315.0439 1402.0 188
315.2802 1398.0 188
315.5109 1394.0 188
315.7471 1386.0 188
315.9833 1378.0 188
316.2030 1374.0 188
316.4337 1370.0 188
316.6699 1362.0 188
316.9061 1358.0 188
317.1204 1354.0 188
317.3566 1348.0 188
317.5928 1340.0 188
317.8235 1334.0 188
318.0432 1332.0 188
318.2794 1326.0 188
318.5156 1322.0 188
318.7463 1318.0 188
318.9661 1314.0 188
319.2023 1310.0 188
319.4330 1308.0 188
319.6692 1302.0 188
319.8889 1294.0 188
320.1196 1288.0 188
320.3558 1284.0 188
320.5920 1278.0 188
320.8228 1274.0 188
321.0590 1272.0 188
321.2952 1266.0 188
321.5424 1262.0 188
321.7786 1258.0 188
322.0148 1254.0 188
322.2620 1252.0 188
322.4982 1248.0 188
322.7344 1240.0 188
322.9816 1236.0 188
323.2178 1232.0 188
323.4485 1230.0 188
323.7012 1226.0 188
323.9374 1222.0 188
324.1681 1218.0 188
324.4208 1212.0 188
324.6515 1208.0 188
324.9042 1206.0 188
325.1404 1202.0 188
325.3711 1200.0 188
325.6238 1194.0 188
325.8545 1190.0 188
326.0907 1186.0 188
326.3434 1184.0 188
326.5741 1180.0 188
326.8103 1178.0 188
327.0575 1164.0 188
327.2937 1148.0 188
328.0133 1148.0 188
328.7329 1144.0 188
328.9801 1142.0 188
329.2163 1138.0 188
329.4525 1134.0 188
329.6997 1130.0 188
329.9359 1128.0 188
330.1666 1126.0 188
330.4193 1126.0 188
330.6555 1132.0 188
330.8862 1138.0 188
332.3419 1152.0 188
332.5781 1164.0 188
332.8088 1170.0 188
333.0615 1180.0 188
333.2922 1188.0 188
333.5284 1198.0 188
333.7811 1208.0 188
334.0118 1216.0 188
334.2480 1222.0 188
334.4952 1236.0 188
336.8903 6768.0 188
337.3737 6848.0 188
337.6044 6712.0 188
337.8571 6816.0 188
338.0933 6896.0 188
338.5767 7208.0 188
338.8074 7296.0 188
339.5270 7728.0 188
340.0104 7680.0 188
340.2466 7720.0 188
340.4993 7824.0 188
340.7300 7912.0 188
340.9662 7952.0 188
341.6858 8296.0 188
342.4054 8440.0 188
342.6526 8648.0 188
343.1250 8880.0 188
345.9485 10256.0 188

